subject,course_semester,unit,topic,question,option_a,option_b,option_c,option_d,correct_answer,marks,difficulty,bloom_level,co_mapping,tags
Engineering Mathematics I,B.Tech / Foundation,1,Differential Calculus,"Which description best matches ""Limit""?",The value a function approaches as the input approaches a point.,A scalar measure of the net outward flux density of a vector field.,A vector of partial derivatives pointing in the direction of steepest increase.,An integration technique derived from the product rule for differentiation.,A,1,Easy,Remember,CO1,"preloaded,engineering-mathematics-i,differential-calculus"
Engineering Mathematics I,B.Tech / Foundation,1,Differential Calculus,"Which term is best described as: ""A property where the limiting value equals the function value at a point.""",Gradient,Order,Continuity,Limit,C,1,Medium,Understand,CO1,"preloaded,engineering-mathematics-i,differential-calculus"
Engineering Mathematics I,B.Tech / Foundation,1,Differential Calculus,"In Engineering Mathematics I, what does ""Derivative""?",The instantaneous rate of change of a function.,The dimension of the row or column space of a matrix.,The power of the highest-order derivative after the equation is polynomial in derivatives.,A vector measure of the local rotational tendency of a vector field.,A,1,Hard,Analyze,CO1,"preloaded,engineering-mathematics-i,differential-calculus"
Engineering Mathematics I,B.Tech / Foundation,2,Integral Calculus,"Which description best matches ""Indefinite integral""?",A differential equation whose variables can be separated onto opposite sides.,The highest derivative appearing in a differential equation.,A family of antiderivatives represented with an arbitrary constant.,A vector of partial derivatives pointing in the direction of steepest increase.,C,1,Easy,Remember,CO2,"preloaded,engineering-mathematics-i,integral-calculus"
Engineering Mathematics I,B.Tech / Foundation,2,Integral Calculus,"Which term is best described as: ""An integral evaluated between fixed limits to produce a numerical value.""",Determinant,Order,Definite integral,Separable equation,C,1,Medium,Understand,CO2,"preloaded,engineering-mathematics-i,integral-calculus"
Engineering Mathematics I,B.Tech / Foundation,2,Integral Calculus,"In Engineering Mathematics I, what does ""Integration by parts""?",An integration technique derived from the product rule for differentiation.,The highest derivative appearing in a differential equation.,A property where the limiting value equals the function value at a point.,An integral evaluated between fixed limits to produce a numerical value.,A,1,Hard,Analyze,CO2,"preloaded,engineering-mathematics-i,integral-calculus"
Engineering Mathematics I,B.Tech / Foundation,3,Differential Equations,"Which description best matches ""Order""?",The highest derivative appearing in a differential equation.,An integration technique derived from the product rule for differentiation.,An integral evaluated between fixed limits to produce a numerical value.,A scalar measure of the net outward flux density of a vector field.,A,1,Easy,Remember,CO3,"preloaded,engineering-mathematics-i,differential-equations"
Engineering Mathematics I,B.Tech / Foundation,3,Differential Equations,"Which term is best described as: ""The power of the highest-order derivative after the equation is polynomial in derivatives.""",Order,Degree,Derivative,Gradient,B,1,Medium,Understand,CO3,"preloaded,engineering-mathematics-i,differential-equations"
Engineering Mathematics I,B.Tech / Foundation,3,Differential Equations,"In Engineering Mathematics I, what does ""Separable equation""?",The power of the highest-order derivative after the equation is polynomial in derivatives.,A vector of partial derivatives pointing in the direction of steepest increase.,An integral evaluated between fixed limits to produce a numerical value.,A differential equation whose variables can be separated onto opposite sides.,D,1,Hard,Analyze,CO3,"preloaded,engineering-mathematics-i,differential-equations"
Engineering Mathematics I,B.Tech / Foundation,4,Matrices and Linear Algebra,"Which description best matches ""Determinant""?",A scalar by which an eigenvector is scaled under a linear transformation.,A scalar value associated with a square matrix that helps characterize invertibility.,The value a function approaches as the input approaches a point.,An integration technique derived from the product rule for differentiation.,B,1,Easy,Remember,CO4,"preloaded,engineering-mathematics-i,matrices-and-linear-algebra"
